publish_date,headline_category,headline_text
2002-02-27 00:00:00,NTPC,Delhi Metro; NTPC get $500 mn Japanese loan
2002-02-27 00:00:00,HDFC,Playing all the right cards for HDFC
2002-02-28 00:00:00,NTPC,UT admn no to NTPC offer
2002-02-28 00:00:00,SBI,Budget indicates trend towards soft rate: SBI chief
2002-03-03 00:00:00,ICICI,ICICI; HDFC seek ways to cut NPAs
2002-03-04 00:00:00,SBI,SBI expects bank credit growth at 9-10%
2002-03-05 00:00:00,ONGC,ONGC donates Rs 2.5 lakh for school
2002-03-05 00:00:00,SBI,RBI bars fresh foreign fund purchases in SBI
2002-03-06 00:00:00,ONGC,ONGC-BG talks fail over operatorship
2002-03-07 00:00:00,ITC,RIL; ITC; HLL top US-64 portfolio
2002-03-07 00:00:00,ICICI,ICICI launches collateralised debt obligation fund
2002-03-10 00:00:00,SUN,SUNDAY BRUNCH/Kianoosh Ayyari
2002-03-10 00:00:00,ONGC,ONGC fails to achieve reserve targets
2002-03-10 00:00:00,NTPC,NTPC profits hit due to lower realisation; high arrears
2002-03-11 00:00:00,SBI,SBI to open office in UAE
2002-03-12 00:00:00,ONGC,ONGC caps gas leakage site
2002-03-12 00:00:00,SBI,SBI Life inks MoU with Sundaram Finance
2002-03-13 00:00:00,HCL,IDC rates HCL Infosys as number one PC co
2002-03-14 00:00:00,ICICI,ICICI merger likely this month
2002-03-16 00:00:00,ICICI,HC asks RBI for report on ICICI-ICICI Bank merger
2002-03-18 00:00:00,NTPC,NTPC plants' shutdown hits power supply
2002-03-19 00:00:00,HDFC,HDFC Bank expects 25-30% growth this fiscal
2002-03-19 00:00:00,HDFC,HDFC Bank expects 25-30% growth this fiscal
2002-03-20 00:00:00,ONGC,ONGC to rework pricing with refiners
2002-03-22 00:00:00,SBI,SBI Home Fin reports Rs 7.25cr net loss
2002-03-22 00:00:00,NTPC,SAIL; NTPC float JV for Bhilai power plant
2002-03-23 00:00:00,NTPC,NTPC CMD is the 'man of infrastructure'
2002-03-23 00:00:00,ONGC,Miscreants burn down ONGC quarter
2002-03-27 00:00:00,NTPC,NTPC may restrict power flow to state
2002-03-27 00:00:00,ONGC,ONGC to acquire oil fields in Sudan; Oman
2002-03-27 00:00:00,ONGC,ONGC to acquire oil fields in Sudan; Oman
2002-03-28 00:00:00,NTPC,BSEB may clear NTPC dues by March 30
2002-03-28 00:00:00,SBI,SBI-Caps is global advisor for Mecon sale
2002-03-29 00:00:00,NTPC,NTPC may crack the whip
2002-03-29 00:00:00,ITC,CITCO likely to retain last year's profit margin
2002-03-29 00:00:00,ITC,CITCO likely to retain last year's profit margin
2002-03-30 00:00:00,NTPC,NTPC plans to generate 1;33;000 MUs
2002-03-31 00:00:00,UPL,UPLYC for BJP-BSP govt
2002-04-01 00:00:00,ONGC,IOC; ONGC oil deal likely tomorrow
2002-04-02 00:00:00,NTPC,State buys a week's peace with NTPC
2002-04-04 00:00:00,NTPC,NTPC net profit up 5%; may issue fresh equity
2002-04-05 00:00:00,NTPC,NTPC planning fresh equity
2002-04-05 00:00:00,ITC,Sponsorship bonanza by RWITC
2002-04-06 00:00:00,ICICI,HUDCO; ICICI Bank agree to fund BMIC project
2002-04-06 00:00:00,SBI,Undeclared holiday at SBI branch
2002-04-07 00:00:00,HCL,HCL to launch Net phones
2002-04-07 00:00:00,NTPC,UP govt seeks more time from NTPC
2002-04-07 00:00:00,NTPC,NTPC caught between Bihar; Jharkhand
2002-04-07 00:00:00,ONGC,ONGC to resume work in state
2002-04-08 00:00:00,ITC,Bitterness brews over CITCO sheds' title
2002-04-09 00:00:00,NTPC,NTPC aiming at sustainable power
2002-04-10 00:00:00,ITC,BPCL; Infy; ITC top Pioneer's bluechip fund
2002-04-11 00:00:00,SBI,Biharsharif SBI chalks out plan for farmers
2002-04-12 00:00:00,NTPC,Bihar tops list of NTPC's defaulters
2002-04-12 00:00:00,ONGC,IOC likely to join hands with ONGC
2002-04-14 00:00:00,SBI,SBI; associates hike STCI stake
2002-04-16 00:00:00,ITC,RWITC set to launch on-line betting
2002-04-16 00:00:00,ONGC,ONGC-IOC to make joint bid for IPCL
2002-04-19 00:00:00,ONGC,ONGC; IPCL sign revised fuel price agreement
2002-04-19 00:00:00,NTPC,NTPC opposes hike in gas prices
2002-04-21 00:00:00,ICICI,ICICI; Rlys in pact for online ticket
2002-04-22 00:00:00,HCL,HCL Comnet bets on remote management services
2002-04-23 00:00:00,HCL,HCL Comnet bets on remote management
2002-04-23 00:00:00,NTPC,UT; NTPC sign PPA
2002-04-23 00:00:00,NTPC,NTPC; TNEB plan power project near Ennore
2002-04-24 00:00:00,HCL,CM tries to stall HCL shift
2002-04-25 00:00:00,SBI,SBI to sue IFCI over default
2002-04-25 00:00:00,HCL,Closure notice for HCL mines
2002-04-27 00:00:00,SBI,SBI mutual fund to shift focus to north
2002-04-28 00:00:00,ONGC,A-I overpower ONGC
2002-04-30 00:00:00,ONGC,ONGC will prepay loans
2002-05-02 00:00:00,ICICI,ICICI; ICICI Bank integration complete
2002-05-02 00:00:00,ICICI,ICICI Bank plans ATMs at religious places
2002-05-03 00:00:00,ONGC,ONGC to venture into petro retail
2002-05-05 00:00:00,HCL,Sterlite; Birla Copper in fray for HCL
2002-05-06 00:00:00,ITC,Saving energy the MITCON way
2002-05-06 00:00:00,ICICI,BPL; ICICI see growth in co-branded credit card
2002-05-07 00:00:00,ONGC,ONGC incurring Rs 75 cr every day
2002-05-07 00:00:00,ONGC,ONGC chopper crashes off Bombay High
2002-05-12 00:00:00,ONGC,ONGC renews insurance of its properties
2002-05-13 00:00:00,ITC,RWITC employee behind bars
2002-05-15 00:00:00,HDFC,HDFC cuts rates; net up 22.5%
2002-05-15 00:00:00,ONGC,ONGC loses Oman oil block to Chinese consortium
2002-05-15 00:00:00,SBI,NIBM asks SBI for more staff
2002-05-15 00:00:00,SBI,NIBM tells SBI to have more officers
2002-05-17 00:00:00,ONGC,IA; ONGC enter semis
2002-05-19 00:00:00,ONGC,ONGC give Airlines a run for their money
2002-05-20 00:00:00,NTPC,NTPC plan to double generation
2002-05-21 00:00:00,HDFC,HDFC plans a unique FRN issue
2002-05-21 00:00:00,SBI,Happy returns from the day; SBI
2002-05-22 00:00:00,ITC,ITC net up; recommends 135% dividend
2002-05-23 00:00:00,SBI,SBI organises training camp for minorities
2002-05-23 00:00:00,NTPC,NTPC's project hampered by mafia
2002-05-23 00:00:00,ICICI,ICICI Pru Life; South Indian Bank in distribution tie-up
2002-05-25 00:00:00,ONGC,IOC to shed Gail; ONGC stakes
2002-05-28 00:00:00,ICICI,ICICI arm buys CustomerAsset
2002-05-28 00:00:00,NTPC,NTPC urged not to lower generation
